Date,Latitude_degree,Longitude_degree,Beaufort,Speed(Ground),M/E REVOLUTION,FOC
2016-06-03 01:00:00,35.175,141.59555555555556,medium,17.5,86,
2016-06-03 02:00:00,35.31583333333333,141.88444444444443,medium,18.3,86,169.0
2016-06-03 03:00:00,35.45833333333333,142.12111111111113,medium,18.4,86,165.0
2016-06-03 04:00:00,35.5736111111111,142.54861111111111,medium,18.1,86,163.0
2016-06-03 05:00:00,35.939722222222215,142.76888888888888,medium,18.8,86,163.0
2016-06-03 06:00:00,36.06861111111111,143.14166666666668,low,19.6,86,161.0
2016-06-03 07:00:00,36.03388888888889,143.49472222222226,low,17.6,90,172.0
2016-06-03 09:00:00,36.46388888888889,144.14,low,16.6,86,339.0
2016-06-03 10:00:00,36.36277777777778,144.55083333333332,low,16.4,86,167.0
2016-06-03 11:00:00,36.625555555555565,144.8733333333333,medium,15.7,86,163.0
2016-06-03 12:00:00,36.670555555555566,144.93111111111108,low,15.5,86,164.0
2016-06-03 13:00:00,36.71527777777778,145.29666666666662,low,15.3,86,163.0
2016-06-03 14:00:00,37.03416666666666,145.68027777777775,low,15.7,86,161.0
2016-06-03 15:00:00,37.17555555555556,145.97055555555556,low,16.2,86,161.0
2016-06-03 16:00:00,37.06444444444444,146.1266666666667,low,16.5,86,160.0
2016-06-03 17:00:00,37.341388888888886,146.57555555555555,low,16.8,86,160.0
2016-06-03 18:00:00,37.33972222222222,146.93444444444444,low,17.0,86,159.0
2016-06-03 19:00:00,37.46722222222222,147.17861111111108,low,17.3,86,159.0
2016-06-03 20:00:00,37.70694444444445,147.43805555555554,medium,17.5,86,158.0
2016-06-03 21:00:00,37.77277777777777,147.9711111111111,medium,17.7,86,158.0
2016-06-03 22:00:00,37.97305555555555,148.20305555555555,medium,17.3,86,157.0
2016-06-03 23:00:00,38.115,148.47944444444445,medium,16.5,86,160.0
2016-06-04 00:00:00,38.259722222222216,148.8025,medium,15.9,86,161.0
2016-06-04 01:00:00,38.380555555555546,149.16666666666666,medium,16.0,86,161.0
2016-06-04 02:00:00,38.490833333333335,149.2841666666667,medium,16.0,86,159.0
2016-06-04 03:00:00,38.59944444444445,149.59694444444446,medium,15.5,86,160.0
2016-06-04 04:00:00,38.54944444444445,150.09944444444446,medium,15.7,85,161.0
2016-06-04 06:00:00,38.96722222222223,150.60805555555558,medium,16.6,86,322.0
2016-06-04 07:00:00,38.954722222222216,150.91694444444445,medium,17.1,86,171.0
2016-06-04 08:00:00,39.1125,151.45583333333332,medium,17.1,86,159.0
2016-06-04 09:00:00,39.130277777777785,151.59861111111113,medium,16.2,86,160.0
2016-06-04 10:00:00,39.35111111111111,151.88833333333332,medium,16.7,86,160.0
2016-06-04 11:00:00,39.33000000000001,152.32666666666668,medium,16.5,86,160.0
2016-06-04 12:00:00,39.5025,152.76861111111108,medium,16.2,86,158.0
2016-06-04 13:00:00,39.44,153.04027777777782,medium,16.3,85,160.0
2016-06-04 14:00:00,39.63638888888889,153.46611111111108,medium,16.8,86,162.0
2016-06-04 15:00:00,39.69777777777778,153.6463888888889,medium,16.7,86,160.0
2016-06-04 16:00:00,39.74583333333333,153.95388888888888,medium,17.1,86,161.0
2016-06-04 17:00:00,39.77694444444445,154.42388888888888,medium,17.6,86,161.0
2016-06-04 18:00:00,40.0125,154.68611111111113,medium,17.8,85,161.0
2016-06-04 19:00:00,40.18861111111112,155.11611111111108,medium,17.3,85,161.0
2016-06-04 20:00:00,40.3075,155.46138888888888,medium,17.5,86,161.0
2016-06-04 21:00:00,40.310277777777785,155.70944444444444,medium,17.4,86,161.0
2016-06-04 22:00:00,40.44194444444445,156.27583333333334,medium,17.9,85,161.0
2016-06-04 23:00:00,40.53138888888889,156.4325,medium,17.9,86,162.0
2016-06-05 00:00:00,40.64388888888889,156.83083333333337,medium,17.4,86,172.0
2016-06-05 01:00:00,40.74944444444444,157.1513888888889,medium,17.9,86,165.0
2016-06-05 06:00:00,41.21888888888888,159.01777777777778,medium,17.4,85,827.0
2016-06-05 07:00:00,41.40277777777778,159.5036111111111,medium,17.4,86,164.0
2016-06-05 08:00:00,41.51611111111111,159.83972222222226,medium,17.5,85,165.0
2016-06-05 09:00:00,41.44138888888889,160.275,medium,17.7,86,165.0
2016-06-05 10:00:00,41.57277777777777,160.56277777777774,medium,17.6,86,167.0
2016-06-05 11:00:00,41.52916666666667,161.0066666666667,medium,17.1,85,167.0
2016-06-05 12:00:00,41.73527777777778,161.45388888888888,medium,17.4,85,168.0
2016-06-05 13:00:00,41.67388888888889,161.62722222222226,medium,17.2,86,166.0
2016-06-05 14:00:00,41.9,162.01,medium,17.0,85,165.0
2016-06-05 15:00:00,41.829444444444434,162.38666666666666,medium,16.8,86,166.0
2016-06-05 16:00:00,41.99555555555556,162.7475,medium,17.0,86,167.0
2016-06-05 17:00:00,42.15611111111111,163.1552777777778,medium,17.1,86,166.0
2016-06-05 18:00:00,42.03555555555555,163.5647222222222,medium,17.0,86,165.0
2016-06-05 19:00:00,42.28722222222223,163.93166666666667,medium,17.3,85,161.0
2016-06-05 20:00:00,42.26611111111111,164.42166666666668,medium,17.1,85,164.0
2016-06-05 21:00:00,42.372777777777785,164.61833333333334,medium,17.4,85,163.0
2016-06-05 22:00:00,42.38166666666667,165.00722222222225,medium,18.3,91,171.0
2016-06-05 23:00:00,42.445277777777775,165.56472222222226,medium,17.9,85,171.0
2016-06-06 00:00:00,42.48861111111111,165.83166666666662,medium,17.6,86,161.0
2016-06-06 01:00:00,42.58,166.29722222222225,medium,17.6,86,161.0
2016-06-06 02:00:00,42.83083333333335,166.57388888888892,medium,17.9,86,161.0
2016-06-06 03:00:00,42.83138888888889,167.1138888888889,medium,17.6,86,161.0
2016-06-06 04:00:00,42.94583333333333,167.41611111111112,medium,16.7,84,158.0
2016-06-06 05:00:00,42.93083333333333,167.76083333333332,medium,18.1,91,167.0
2016-06-06 06:00:00,42.939444444444455,168.01722222222224,medium,17.0,83,154.0
2016-06-06 07:00:00,43.13444444444443,168.48444444444445,medium,16.5,84,151.0
2016-06-06 08:00:00,43.13361111111112,168.94416666666666,medium,16.8,84,152.0
2016-06-06 10:00:00,43.18222222222222,169.77416666666667,low,17.0,84,305.0
2016-06-06 11:00:00,43.363888888888894,169.93805555555556,low,17.4,83,153.0
2016-06-06 12:00:00,43.37694444444444,170.44861111111112,low,17.5,84,153.0
2016-06-06 13:00:00,43.36944444444445,170.78416666666666,low,17.2,83,152.0
2016-06-06 14:00:00,43.39888888888889,171.17388888888888,low,17.1,83,155.0
2016-06-06 15:00:00,43.38722222222222,171.54666666666662,low,16.7,83,157.0
2016-06-06 16:00:00,43.35888888888889,171.92000000000004,low,16.9,84,156.0
2016-06-06 17:00:00,43.5925,172.30277777777778,low,16.9,84,154.0
2016-06-06 18:00:00,43.44777777777777,172.66166666666663,medium,16.7,84,155.0
2016-06-06 19:00:00,43.4725,173.18333333333337,medium,16.4,84,156.0
2016-06-06 20:00:00,43.6975,173.4161111111111,medium,16.6,84,160.0
2016-06-06 21:00:00,43.68138888888889,173.84805555555553,low,17.6,89,169.0
2016-06-06 22:00:00,43.67972222222223,174.26222222222222,low,16.5,84,165.0
2016-06-06 23:00:00,43.725555555555545,174.5675,low,17.0,83,158.0
2016-06-07 00:00:00,43.689444444444455,174.9125,medium,17.4,84,157.0
2016-06-07 01:00:00,43.73805555555556,175.37194444444444,medium,17.1,84,155.0
2016-06-07 02:00:00,43.823888888888895,175.69444444444443,low,16.8,84,151.0
2016-06-07 03:00:00,43.85194444444444,176.15416666666667,low,16.9,84,153.0
